,SymbolA,SymbolB,pair
3029138,TRAV24,ZNF493,TRAV24__ZNF493
3029139,TRAV24,ZNF501,TRAV24__ZNF501
3029140,ZNF502,TRAV24,TRAV24__ZNF502
3029141,ZNF518B,TRAV24,TRAV24__ZNF518B
3029142,ZNF519,TRAV24,TRAV24__ZNF519
3029143,ZNF525,TRAV24,TRAV24__ZNF525
3029144,ZNF527,TRAV24,TRAV24__ZNF527
3029145,ZNF528,TRAV24,TRAV24__ZNF528
3029146,ZNF529,TRAV24,TRAV24__ZNF529
3029147,ZNF530,TRAV24,TRAV24__ZNF530
3029148,ZNF534,TRAV24,TRAV24__ZNF534
3029149,ZNF541,TRAV24,TRAV24__ZNF541
3029150,ZNF546,TRAV24,TRAV24__ZNF546
3029151,ZNF548,TRAV24,TRAV24__ZNF548
3029152,ZNF549,TRAV24,TRAV24__ZNF549
3029153,ZNF551,TRAV24,TRAV24__ZNF551
3029154,ZNF565,TRAV24,TRAV24__ZNF565
3029155,ZNF567,TRAV24,TRAV24__ZNF567
3029156,ZNF568,TRAV24,TRAV24__ZNF568
3029157,ZNF570,TRAV24,TRAV24__ZNF570
3029158,TRAV24,ZNF571,TRAV24__ZNF571
3029159,ZNF573,TRAV24,TRAV24__ZNF573
3029160,ZNF577,TRAV24,TRAV24__ZNF577
3029161,ZNF582,TRAV24,TRAV24__ZNF582
3029162,ZNF583,TRAV24,TRAV24__ZNF583
3029163,TRAV24,ZNF585A,TRAV24__ZNF585A
3029164,TRAV24,ZNF585B,TRAV24__ZNF585B
3029165,TRAV24,ZNF586,TRAV24__ZNF586
3029166,TRAV24,ZNF587B,TRAV24__ZNF587B
3029167,ZNF594,TRAV24,TRAV24__ZNF594
3029168,ZNF595,TRAV24,TRAV24__ZNF595
3029169,TRAV24,ZNF596,TRAV24__ZNF596
3029170,ZNF600,TRAV24,TRAV24__ZNF600
3029171,ZNF605,TRAV24,TRAV24__ZNF605
3029172,ZNF606,TRAV24,TRAV24__ZNF606
3029173,TRAV24,ZNF610,TRAV24__ZNF610
3029174,ZNF613,TRAV24,TRAV24__ZNF613
3029175,TRAV24,ZNF614,TRAV24__ZNF614
3029176,ZNF615,TRAV24,TRAV24__ZNF615
3029177,ZNF619,TRAV24,TRAV24__ZNF619
3029178,ZNF621,TRAV24,TRAV24__ZNF621
3029179,TRAV24,ZNF623,TRAV24__ZNF623
3029180,ZNF626,TRAV24,TRAV24__ZNF626
3029181,ZNF654,TRAV24,TRAV24__ZNF654
3029182,ZNF658,TRAV24,TRAV24__ZNF658
3029183,ZNF66,TRAV24,TRAV24__ZNF66
3029184,TRAV24,ZNF660,TRAV24__ZNF660
3029185,TRAV24,ZNF662,TRAV24__ZNF662
3029186,ZNF665,TRAV24,TRAV24__ZNF665
3029187,ZNF667,TRAV24,TRAV24__ZNF667
3029188,ZNF671,TRAV24,TRAV24__ZNF671
3029189,ZNF676,TRAV24,TRAV24__ZNF676
3029190,ZNF678,TRAV24,TRAV24__ZNF678
3029191,ZNF679,TRAV24,TRAV24__ZNF679
3029192,ZNF682,TRAV24,TRAV24__ZNF682
3029193,ZNF701,TRAV24,TRAV24__ZNF701
3029194,ZNF705D,TRAV24,TRAV24__ZNF705D
3029195,ZNF705G,TRAV24,TRAV24__ZNF705G
3029196,TRAV24,ZNF706,TRAV24__ZNF706
3029197,ZNF710,TRAV24,TRAV24__ZNF710
3029198,TRAV24,ZNF713,TRAV24__ZNF713
3029199,ZNF716,TRAV24,TRAV24__ZNF716
3029200,ZNF717,TRAV24,TRAV24__ZNF717
3029201,TRAV24,ZNF721,TRAV24__ZNF721
3029202,ZNF727,TRAV24,TRAV24__ZNF727
3029203,ZNF732,TRAV24,TRAV24__ZNF732
3029204,ZNF735,TRAV24,TRAV24__ZNF735
3029205,TRAV24,ZNF736,TRAV24__ZNF736
3029206,ZNF737,TRAV24,TRAV24__ZNF737
3029207,ZNF738,TRAV24,TRAV24__ZNF738
3029208,ZNF749,TRAV24,TRAV24__ZNF749
3029209,ZNF761,TRAV24,TRAV24__ZNF761
3029210,ZNF763,TRAV24,TRAV24__ZNF763
3029211,TRAV24,ZNF772,TRAV24__ZNF772
3029212,ZNF781,TRAV24,TRAV24__ZNF781
3029213,ZNF782,TRAV24,TRAV24__ZNF782
3029214,ZNF789,TRAV24,TRAV24__ZNF789
3029215,ZNF790,TRAV24,TRAV24__ZNF790
3029216,ZNF793,TRAV24,TRAV24__ZNF793
3029217,ZNF799,TRAV24,TRAV24__ZNF799
3029218,TRAV24,ZNF804A,TRAV24__ZNF804A
3029219,ZNF804B,TRAV24,TRAV24__ZNF804B
3029220,TRAV24,ZNF81,TRAV24__ZNF81
3029221,ZNF814,TRAV24,TRAV24__ZNF814
3029222,ZNF831,TRAV24,TRAV24__ZNF831
3029223,TRAV24,ZNF836,TRAV24__ZNF836
3029224,ZNF839,TRAV24,TRAV24__ZNF839
3029225,ZNF841,TRAV24,TRAV24__ZNF841
3029226,ZNF846,TRAV24,TRAV24__ZNF846
3029227,ZNF85,TRAV24,TRAV24__ZNF85
3029228,TRAV24,ZNF850,TRAV24__ZNF850
3029229,ZNF860,TRAV24,TRAV24__ZNF860
3029230,TRAV24,ZNF862,TRAV24__ZNF862
3029231,TRAV24,ZNF875,TRAV24__ZNF875
3029232,TRAV24,ZNF878,TRAV24__ZNF878
3029233,ZNF879,TRAV24,TRAV24__ZNF879
3029234,ZNF883,TRAV24,TRAV24__ZNF883
3029235,ZNF891,TRAV24,TRAV24__ZNF891
3029236,ZNF90,TRAV24,TRAV24__ZNF90
3029237,ZNF93,TRAV24,TRAV24__ZNF93
3029238,ZNF99,TRAV24,TRAV24__ZNF99
3029239,ZNG1C,TRAV24,TRAV24__ZNG1C
3029240,ZP1,TRAV24,TRAV24__ZP1
3029241,ZPBP,TRAV24,TRAV24__ZPBP
3029242,ZSCAN10,TRAV24,TRAV24__ZSCAN10
3029243,TRAV24,ZSCAN5B,TRAV24__ZSCAN5B
3029244,ZSWIM1,TRAV24,TRAV24__ZSWIM1
3029245,ZSWIM2,TRAV24,TRAV24__ZSWIM2
3029246,ZSWIM3,TRAV24,TRAV24__ZSWIM3
3029247,ZSWIM4,TRAV24,TRAV24__ZSWIM4
3029248,TRAV24,ZSWIM5,TRAV24__ZSWIM5
3029249,TRAV24,ZSWIM6,TRAV24__ZSWIM6
3029250,TRAV7,TRB,TRAV7__TRB
3029251,TRAV7,TRBC2,TRAV7__TRBC2
3029252,TRBV12-3,TRAV7,TRAV7__TRBV12-3
3029253,TRBV13,TRAV7,TRAV7__TRBV13
3029254,TRAV7,TRBV2,TRAV7__TRBV2
3029255,TRAV7,TRBV25-1,TRAV7__TRBV25-1
3029256,TRAV7,TREH,TRAV7__TREH
3029257,TREM1,TRAV7,TRAV7__TREM1
3029258,TRAV7,TREML1,TRAV7__TREML1
3029259,TRH,TRAV7,TRAV7__TRH
3029260,TRIL,TRAV7,TRAV7__TRIL
3029261,TRIM34,TRAV7,TRAV7__TRIM34
3029262,TRIM43B,TRAV7,TRAV7__TRIM43B
3029263,TRAV7,TRIM48,TRAV7__TRIM48
3029264,TRIM49,TRAV7,TRAV7__TRIM49
3029265,TRIM49C,TRAV7,TRAV7__TRIM49C
3029266,TRAV7,TRIM6-TRIM34,TRAV7__TRIM6-TRIM34
3029267,TRIM60,TRAV7,TRAV7__TRIM60
3029268,TRIM61,TRAV7,TRAV7__TRIM61
3029269,TRIM64C,TRAV7,TRAV7__TRIM64C
3029270,TRIM67,TRAV7,TRAV7__TRIM67
3029271,TRAV7,TRIM77,TRAV7__TRIM77
3029272,TRIT1,TRAV7,TRAV7__TRIT1
3029273,TRMT9B,TRAV7,TRAV7__TRMT9B
3029274,TRAV7,TRNP1,TRAV7__TRNP1
3029275,TRPA1,TRAV7,TRAV7__TRPA1
3029276,TRPM1,TRAV7,TRAV7__TRPM1
3029277,TRPM2,TRAV7,TRAV7__TRPM2
3029278,TRPM5,TRAV7,TRAV7__TRPM5
3029279,TRPM6,TRAV7,TRAV7__TRPM6
3029280,TRAV7,TRPM8,TRAV7__TRPM8
3029281,TRPV1,TRAV7,TRAV7__TRPV1
3029282,TRAV7,TRPV3,TRAV7__TRPV3
3029283,TRAV7,TRPV4,TRAV7__TRPV4
3029284,TRAV7,TSBP1,TRAV7__TSBP1
3029285,TSGA13,TRAV7,TRAV7__TSGA13
3029286,TRAV7,TSHZ1,TRAV7__TSHZ1
3029287,TRAV7,TSKU,TRAV7__TSKU
3029288,TSPAN11,TRAV7,TRAV7__TSPAN11
3029289,TRAV7,TSPAN14,TRAV7__TSPAN14
3029290,TRAV7,TSPAN32,TRAV7__TSPAN32
3029291,TRAV7,TSPAN9,TRAV7__TSPAN9
3029292,TRAV7,TSPEAR,TRAV7__TSPEAR
3029293,TRAV7,TSPY1,TRAV7__TSPY1
3029294,TRAV7,TSPY10,TRAV7__TSPY10
3029295,TRAV7,TSPY8,TRAV7__TSPY8
3029296,TSSK4,TRAV7,TRAV7__TSSK4
3029297,TTC16,TRAV7,TRAV7__TTC16
3029298,TTC21A,TRAV7,TRAV7__TTC21A
3029299,TTC31,TRAV7,TRAV7__TTC31
3029300,TTC34,TRAV7,TRAV7__TTC34
3029301,TRAV7,TTC36,TRAV7__TTC36
3029302,TTC39B,TRAV7,TRAV7__TTC39B
3029303,TRAV7,TTC39C,TRAV7__TTC39C
3029304,TTC6,TRAV7,TRAV7__TTC6
3029305,TRAV7,TTC9B,TRAV7__TTC9B
3029306,TRAV7,TTLL11,TRAV7__TTLL11
3029307,TTLL13,TRAV7,TRAV7__TTLL13
3029308,TRAV7,TTLL2,TRAV7__TTLL2
3029309,TRAV7,TTLL3,TRAV7__TTLL3
3029310,TTLL9,TRAV7,TRAV7__TTLL9
3029311,TRAV7,TTYH2,TRAV7__TTYH2
3029312,TRAV7,TUBA3D,TRAV7__TUBA3D
3029313,TRAV7,TUBB8B,TRAV7__TUBB8B
3029314,TRAV7,TUBE1,TRAV7__TUBE1
3029315,TUG1,TRAV7,TRAV7__TUG1
3029316,TRAV7,TULP1,TRAV7__TULP1
3029317,TRAV7,TULP4,TRAV7__TULP4
3029318,TUSC1,TRAV7,TRAV7__TUSC1
3029319,TRAV7,TVP23A,TRAV7__TVP23A
3029320,TRAV7,TXNDC2,TRAV7__TXNDC2
3029321,TYR,TRAV7,TRAV7__TYR
3029322,TYRP1,TRAV7,TRAV7__TYRP1
3029323,UAP1L1,TRAV7,TRAV7__UAP1L1
3029324,UBALD1,TRAV7,TRAV7__UBALD1
3029325,TRAV7,UBALD2,TRAV7__UBALD2
3029326,UBE2QL1,TRAV7,TRAV7__UBE2QL1
3029327,UBL4B,TRAV7,TRAV7__UBL4B
3029328,UCMA,TRAV7,TRAV7__UCMA
3029329,UCN,TRAV7,TRAV7__UCN
3029330,TRAV7,UCN2,TRAV7__UCN2
3029331,UCP1,TRAV7,TRAV7__UCP1
3029332,TRAV7,UCP3,TRAV7__UCP3
3029333,UGT2A1,TRAV7,TRAV7__UGT2A1
3029334,UGT2A2,TRAV7,TRAV7__UGT2A2
3029335,UGT2B10,TRAV7,TRAV7__UGT2B10
3029336,UGT2B15,TRAV7,TRAV7__UGT2B15
3029337,UGT2B17,TRAV7,TRAV7__UGT2B17
3029338,UGT2B28,TRAV7,TRAV7__UGT2B28
3029339,TRAV7,UGT2B4,TRAV7__UGT2B4
3029340,TRAV7,UGT3A1,TRAV7__UGT3A1
3029341,UMAD1,TRAV7,TRAV7__UMAD1
3029342,UMOD,TRAV7,TRAV7__UMOD
3029343,UMODL1,TRAV7,TRAV7__UMODL1
3029344,TRAV7,UNC13A,TRAV7__UNC13A
3029345,UNC13C,TRAV7,TRAV7__UNC13C
3029346,TRAV7,UNC13D,TRAV7__UNC13D
3029347,UNC5A,TRAV7,TRAV7__UNC5A
3029348,UNC5D,TRAV7,TRAV7__UNC5D
3029349,UNC79,TRAV7,TRAV7__UNC79
3029350,UPK3A,TRAV7,TRAV7__UPK3A
3029351,UPK3B,TRAV7,TRAV7__UPK3B
3029352,TRAV7,UPP2,TRAV7__UPP2
3029353,UQCC4,TRAV7,TRAV7__UQCC4
3029354,TRAV7,UQCRHL,TRAV7__UQCRHL
3029355,URAD,TRAV7,TRAV7__URAD
3029356,UROC1,TRAV7,TRAV7__UROC1
3029357,UROS,TRAV7,TRAV7__UROS
3029358,USP17L1,TRAV7,TRAV7__USP17L1
3029359,TRAV7,USP17L12,TRAV7__USP17L12
3029360,USP17L18,TRAV7,TRAV7__USP17L18
3029361,USP17L23,TRAV7,TRAV7__USP17L23
3029362,USP17L3,TRAV7,TRAV7__USP17L3
3029363,USP17L5,TRAV7,TRAV7__USP17L5
3029364,TRAV7,USP17L7,TRAV7__USP17L7
3029365,TRAV7,USP26,TRAV7__USP26
3029366,TRAV7,UTF1,TRAV7__UTF1
3029367,TRAV7,UTS2B,TRAV7__UTS2B
3029368,TRAV7,UTS2R,TRAV7__UTS2R
3029369,VASH1,TRAV7,TRAV7__VASH1
3029370,TRAV7,VAX1,TRAV7__VAX1
3029371,TRAV7,VAX2,TRAV7__VAX2
3029372,VCX,TRAV7,TRAV7__VCX
3029373,TRAV7,VCX2,TRAV7__VCX2
3029374,TRAV7,VEGFC,TRAV7__VEGFC
3029375,VEPH1,TRAV7,TRAV7__VEPH1
3029376,VGLL2,TRAV7,TRAV7__VGLL2
3029377,VHLL,TRAV7,TRAV7__VHLL
3029378,TRAV7,VIT,TRAV7__VIT
3029379,VN1R1,TRAV7,TRAV7__VN1R1
3029380,VN1R2,TRAV7,TRAV7__VN1R2
3029381,TRAV7,VN1R5,TRAV7__VN1R5
3029382,TRAV7,VPREB1,TRAV7__VPREB1
3029383,VSIG10L,TRAV7,TRAV7__VSIG10L
3029384,VSTM2A,TRAV7,TRAV7__VSTM2A
3029385,VSTM2B,TRAV7,TRAV7__VSTM2B
3029386,VSTM2L,TRAV7,TRAV7__VSTM2L
3029387,VSTM4,TRAV7,TRAV7__VSTM4
3029388,TRAV7,VWA3A,TRAV7__VWA3A
3029389,TRAV7,VWA3B,TRAV7__VWA3B
3029390,TRAV7,VWA5B1,TRAV7__VWA5B1
3029391,VWA7,TRAV7,TRAV7__VWA7
3029392,TRAV7,VXN,TRAV7__VXN
3029393,TRAV7,WBP2NL,TRAV7__WBP2NL
3029394,TRAV7,WDFY4,TRAV7__WDFY4
3029395,WDR17,TRAV7,TRAV7__WDR17
3029396,TRAV7,WDR31,TRAV7__WDR31
3029397,WDR49,TRAV7,TRAV7__WDR49
3029398,WDR53,TRAV7,TRAV7__WDR53
3029399,TRAV7,WDR64,TRAV7__WDR64
3029400,WDR72,TRAV7,TRAV7__WDR72
3029401,WDR83OS,TRAV7,TRAV7__WDR83OS
3029402,TRAV7,WDR87,TRAV7__WDR87
3029403,TRAV7,WDR97,TRAV7__WDR97
3029404,WDSUB1,TRAV7,TRAV7__WDSUB1
3029405,WFDC1,TRAV7,TRAV7__WFDC1
3029406,WFDC10A,TRAV7,TRAV7__WFDC10A
3029407,TRAV7,WFDC10B,TRAV7__WFDC10B
3029408,TRAV7,WFDC12,TRAV7__WFDC12
3029409,TRAV7,WFDC13,TRAV7__WFDC13
3029410,WFDC8,TRAV7,TRAV7__WFDC8
3029411,WFDC9,TRAV7,TRAV7__WFDC9
3029412,TRAV7,WFIKKN1,TRAV7__WFIKKN1
3029413,TRAV7,WFIKKN2,TRAV7__WFIKKN2
3029414,WNT2B,TRAV7,TRAV7__WNT2B
3029415,WNT5B,TRAV7,TRAV7__WNT5B
3029416,WNT6,TRAV7,TRAV7__WNT6
3029417,WNT7B,TRAV7,TRAV7__WNT7B
3029418,WNT8A,TRAV7,TRAV7__WNT8A
3029419,WNT8B,TRAV7,TRAV7__WNT8B
3029420,WNT9A,TRAV7,TRAV7__WNT9A
3029421,WNT9B,TRAV7,TRAV7__WNT9B
3029422,TRAV7,XAGE2,TRAV7__XAGE2
3029423,XCR1,TRAV7,TRAV7__XCR1
3029424,TRAV7,XK,TRAV7__XK
3029425,XKR3,TRAV7,TRAV7__XKR3
3029426,TRAV7,XKR4,TRAV7__XKR4
3029427,XKR5,TRAV7,TRAV7__XKR5
3029428,TRAV7,XKR6,TRAV7__XKR6
3029429,XKR8,TRAV7,TRAV7__XKR8
3029430,XKRX,TRAV7,TRAV7__XKRX
3029431,XKRY,TRAV7,TRAV7__XKRY
3029432,XPNPEP2,TRAV7,TRAV7__XPNPEP2
3029433,TRAV7,XRRA1,TRAV7__XRRA1
3029434,TRAV7,YDJC,TRAV7__YDJC
3029435,YPEL1,TRAV7,TRAV7__YPEL1
3029436,YPEL2,TRAV7,TRAV7__YPEL2
3029437,TRAV7,YY2,TRAV7__YY2
3029438,ZAN,TRAV7,TRAV7__ZAN
3029439,ZAR1,TRAV7,TRAV7__ZAR1
3029440,ZBED10P,TRAV7,TRAV7__ZBED10P
3029441,ZBED2,TRAV7,TRAV7__ZBED2
3029442,TRAV7,ZBED3,TRAV7__ZBED3
3029443,TRAV7,ZBED5,TRAV7__ZBED5
3029444,TRAV7,ZBTB12,TRAV7__ZBTB12
3029445,ZBTB37,TRAV7,TRAV7__ZBTB37
3029446,ZBTB41,TRAV7,TRAV7__ZBTB41
3029447,TRAV7,ZBTB45,TRAV7__ZBTB45
3029448,TRAV7,ZBTB6,TRAV7__ZBTB6
3029449,TRAV7,ZBTB7C,TRAV7__ZBTB7C
3029450,ZBTB8B,TRAV7,TRAV7__ZBTB8B
3029451,ZC3H11B,TRAV7,TRAV7__ZC3H11B
3029452,ZC3H11C,TRAV7,TRAV7__ZC3H11C
3029453,ZC3H12B,TRAV7,TRAV7__ZC3H12B
3029454,ZC3H12C,TRAV7,TRAV7__ZC3H12C
3029455,TRAV7,ZC3H12D,TRAV7__ZC3H12D
3029456,ZC3H6,TRAV7,TRAV7__ZC3H6
3029457,TRAV7,ZCCHC13,TRAV7__ZCCHC13
3029458,ZCCHC18,TRAV7,TRAV7__ZCCHC18
3029459,ZCCHC24,TRAV7,TRAV7__ZCCHC24
3029460,ZCWPW2,TRAV7,TRAV7__ZCWPW2
3029461,TRAV7,ZDHHC11B,TRAV7__ZDHHC11B
3029462,TRAV7,ZDHHC16,TRAV7__ZDHHC16
3029463,ZDHHC2,TRAV7,TRAV7__ZDHHC2
3029464,TRAV7,ZDHHC24,TRAV7__ZDHHC24
3029465,ZDHHC4,TRAV7,TRAV7__ZDHHC4
3029466,TRAV7,ZFAND1,TRAV7__ZFAND1
3029467,ZFAND3,TRAV7,TRAV7__ZFAND3
3029468,TRAV7,ZFAND4,TRAV7__ZFAND4
3029469,ZFAND6,TRAV7,TRAV7__ZFAND6
3029470,TRAV7,ZFAT,TRAV7__ZFAT
3029471,ZFHX2,TRAV7,TRAV7__ZFHX2
3029472,ZFP14,TRAV7,TRAV7__ZFP14
3029473,ZFP28,TRAV7,TRAV7__ZFP28
3029474,ZFP3,TRAV7,TRAV7__ZFP3
3029475,ZFP30,TRAV7,TRAV7__ZFP30
3029476,ZFP37,TRAV7,TRAV7__ZFP37
3029477,ZFP57,TRAV7,TRAV7__ZFP57
3029478,ZFP82,TRAV7,TRAV7__ZFP82
3029479,TRAV7,ZFP92,TRAV7__ZFP92
3029480,ZFR2,TRAV7,TRAV7__ZFR2
3029481,ZFX,TRAV7,TRAV7__ZFX
3029482,TRAV7,ZFY,TRAV7__ZFY
3029483,TRAV7,ZFYVE28,TRAV7__ZFYVE28
3029484,ZG16,TRAV7,TRAV7__ZG16
3029485,TRAV7,ZGLP1,TRAV7__ZGLP1
3029486,TRAV7,ZIC4,TRAV7__ZIC4
3029487,TRAV7,ZIC5,TRAV7__ZIC5
3029488,TRAV7,ZIK1,TRAV7__ZIK1
3029489,ZIM3,TRAV7,TRAV7__ZIM3
3029490,TRAV7,ZKSCAN2,TRAV7__ZKSCAN2
3029491,ZKSCAN5,TRAV7,TRAV7__ZKSCAN5
3029492,ZNF10,TRAV7,TRAV7__ZNF10
3029493,ZNF112,TRAV7,TRAV7__ZNF112
3029494,ZNF117,TRAV7,TRAV7__ZNF117
3029495,ZNF12,TRAV7,TRAV7__ZNF12
3029496,ZNF134,TRAV7,TRAV7__ZNF134
3029497,TRAV7,ZNF135,TRAV7__ZNF135
3029498,ZNF14,TRAV7,TRAV7__ZNF14
3029499,ZNF140,TRAV7,TRAV7__ZNF140
3029500,ZNF141,TRAV7,TRAV7__ZNF141
3029501,TRAV7,ZNF155,TRAV7__ZNF155
3029502,ZNF157,TRAV7,TRAV7__ZNF157
3029503,TRAV7,ZNF160,TRAV7__ZNF160
3029504,ZNF175,TRAV7,TRAV7__ZNF175
3029505,ZNF18,TRAV7,TRAV7__ZNF18
3029506,ZNF181,TRAV7,TRAV7__ZNF181
3029507,ZNF208,TRAV7,TRAV7__ZNF208
3029508,ZNF214,TRAV7,TRAV7__ZNF214
3029509,TRAV7,ZNF221,TRAV7__ZNF221
3029510,TRAV7,ZNF226,TRAV7__ZNF226
3029511,ZNF227,TRAV7,TRAV7__ZNF227
3029512,ZNF229,TRAV7,TRAV7__ZNF229
3029513,TRAV7,ZNF234,TRAV7__ZNF234
3029514,ZNF235,TRAV7,TRAV7__ZNF235
3029515,TRAV7,ZNF236,TRAV7__ZNF236
3029516,ZNF239,TRAV7,TRAV7__ZNF239
3029517,ZNF248,TRAV7,TRAV7__ZNF248
3029518,TRAV7,ZNF25,TRAV7__ZNF25
3029519,TRAV7,ZNF253,TRAV7__ZNF253
3029520,TRAV7,ZNF254,TRAV7__ZNF254
3029521,TRAV7,ZNF256,TRAV7__ZNF256
3029522,ZNF257,TRAV7,TRAV7__ZNF257
3029523,ZNF26,TRAV7,TRAV7__ZNF26
3029524,ZNF260,TRAV7,TRAV7__ZNF260
3029525,ZNF266,TRAV7,TRAV7__ZNF266
3029526,ZNF267,TRAV7,TRAV7__ZNF267
3029527,TRAV7,ZNF280A,TRAV7__ZNF280A
3029528,TRAV7,ZNF280B,TRAV7__ZNF280B
3029529,TRAV7,ZNF280D,TRAV7__ZNF280D
3029530,ZNF283,TRAV7,TRAV7__ZNF283
3029531,ZNF284,TRAV7,TRAV7__ZNF284
3029532,ZNF285,TRAV7,TRAV7__ZNF285
3029533,ZNF30,TRAV7,TRAV7__ZNF30
3029534,ZNF300,TRAV7,TRAV7__ZNF300
3029535,ZNF304,TRAV7,TRAV7__ZNF304
3029536,TRAV7,ZNF311,TRAV7__ZNF311
3029537,ZNF32,TRAV7,TRAV7__ZNF32
3029538,TRAV7,ZNF334,TRAV7__ZNF334
3029539,ZNF33B,TRAV7,TRAV7__ZNF33B
3029540,TRAV7,ZNF345,TRAV7__ZNF345
3029541,ZNF350,TRAV7,TRAV7__ZNF350
3029542,TRAV7,ZNF354B,TRAV7__ZNF354B
3029543,ZNF37A,TRAV7,TRAV7__ZNF37A
3029544,ZNF385D,TRAV7,TRAV7__ZNF385D
3029545,ZNF394,TRAV7,TRAV7__ZNF394
3029546,ZNF395,TRAV7,TRAV7__ZNF395
3029547,TRAV7,ZNF404,TRAV7__ZNF404
3029548,ZNF407,TRAV7,TRAV7__ZNF407
3029549,ZNF41,TRAV7,TRAV7__ZNF41
3029550,ZNF415,TRAV7,TRAV7__ZNF415
3029551,ZNF416,TRAV7,TRAV7__ZNF416
3029552,TRAV7,ZNF419,TRAV7__ZNF419
3029553,ZNF425,TRAV7,TRAV7__ZNF425
3029554,TRAV7,ZNF43,TRAV7__ZNF43
3029555,TRAV7,ZNF432,TRAV7__ZNF432
3029556,ZNF433,TRAV7,TRAV7__ZNF433
3029557,TRAV7,ZNF441,TRAV7__ZNF441
3029558,TRAV7,ZNF442,TRAV7__ZNF442
3029559,TRAV7,ZNF45,TRAV7__ZNF45
3029560,ZNF468,TRAV7,TRAV7__ZNF468
3029561,ZNF470,TRAV7,TRAV7__ZNF470
3029562,TRAV7,ZNF471,TRAV7__ZNF471
3029563,TRAV7,ZNF479,TRAV7__ZNF479
3029564,TRAV7,ZNF480,TRAV7__ZNF480
3029565,ZNF484,TRAV7,TRAV7__ZNF484
3029566,ZNF487,TRAV7,TRAV7__ZNF487
3029567,ZNF492,TRAV7,TRAV7__ZNF492
3029568,ZNF493,TRAV7,TRAV7__ZNF493
3029569,ZNF500,TRAV7,TRAV7__ZNF500
3029570,TRAV7,ZNF501,TRAV7__ZNF501
3029571,ZNF502,TRAV7,TRAV7__ZNF502
3029572,TRAV7,ZNF518B,TRAV7__ZNF518B
3029573,ZNF519,TRAV7,TRAV7__ZNF519
3029574,ZNF525,TRAV7,TRAV7__ZNF525
3029575,TRAV7,ZNF527,TRAV7__ZNF527
3029576,ZNF528,TRAV7,TRAV7__ZNF528
3029577,ZNF529,TRAV7,TRAV7__ZNF529
3029578,ZNF530,TRAV7,TRAV7__ZNF530
3029579,TRAV7,ZNF532,TRAV7__ZNF532
3029580,ZNF534,TRAV7,TRAV7__ZNF534
3029581,TRAV7,ZNF541,TRAV7__ZNF541
3029582,ZNF544,TRAV7,TRAV7__ZNF544
3029583,ZNF546,TRAV7,TRAV7__ZNF546
3029584,TRAV7,ZNF548,TRAV7__ZNF548
3029585,ZNF549,TRAV7,TRAV7__ZNF549
3029586,TRAV7,ZNF551,TRAV7__ZNF551
3029587,TRAV7,ZNF554,TRAV7__ZNF554
3029588,TRAV7,ZNF559,TRAV7__ZNF559
3029589,ZNF561,TRAV7,TRAV7__ZNF561
3029590,TRAV7,ZNF563,TRAV7__ZNF563
3029591,TRAV7,ZNF565,TRAV7__ZNF565
3029592,ZNF567,TRAV7,TRAV7__ZNF567
3029593,ZNF570,TRAV7,TRAV7__ZNF570
3029594,TRAV7,ZNF571,TRAV7__ZNF571
3029595,ZNF573,TRAV7,TRAV7__ZNF573
3029596,TRAV7,ZNF577,TRAV7__ZNF577
3029597,ZNF582,TRAV7,TRAV7__ZNF582
3029598,ZNF583,TRAV7,TRAV7__ZNF583
3029599,ZNF584,TRAV7,TRAV7__ZNF584
3029600,ZNF585A,TRAV7,TRAV7__ZNF585A
3029601,TRAV7,ZNF585B,TRAV7__ZNF585B
3029602,ZNF586,TRAV7,TRAV7__ZNF586
3029603,TRAV7,ZNF587B,TRAV7__ZNF587B
3029604,TRAV7,ZNF594,TRAV7__ZNF594
3029605,TRAV7,ZNF595,TRAV7__ZNF595
3029606,ZNF596,TRAV7,TRAV7__ZNF596
3029607,TRAV7,ZNF605,TRAV7__ZNF605
3029608,TRAV7,ZNF606,TRAV7__ZNF606
3029609,TRAV7,ZNF607,TRAV7__ZNF607
3029610,TRAV7,ZNF610,TRAV7__ZNF610
3029611,TRAV7,ZNF611,TRAV7__ZNF611
3029612,TRAV7,ZNF613,TRAV7__ZNF613
3029613,TRAV7,ZNF614,TRAV7__ZNF614
3029614,TRAV7,ZNF615,TRAV7__ZNF615
3029615,ZNF619,TRAV7,TRAV7__ZNF619
3029616,TRAV7,ZNF621,TRAV7__ZNF621
3029617,TRAV7,ZNF623,TRAV7__ZNF623
3029618,ZNF626,TRAV7,TRAV7__ZNF626
3029619,ZNF628,TRAV7,TRAV7__ZNF628
3029620,ZNF649,TRAV7,TRAV7__ZNF649
3029621,ZNF654,TRAV7,TRAV7__ZNF654
3029622,ZNF658,TRAV7,TRAV7__ZNF658
3029623,TRAV7,ZNF66,TRAV7__ZNF66
3029624,ZNF660,TRAV7,TRAV7__ZNF660
3029625,TRAV7,ZNF662,TRAV7__ZNF662
3029626,TRAV7,ZNF665,TRAV7__ZNF665
3029627,ZNF667,TRAV7,TRAV7__ZNF667
3029628,TRAV7,ZNF672,TRAV7__ZNF672
3029629,ZNF674,TRAV7,TRAV7__ZNF674
3029630,TRAV7,ZNF675,TRAV7__ZNF675
3029631,ZNF676,TRAV7,TRAV7__ZNF676
